time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,0.68,2,6.88%,0.00%,0.00%,0.75%,0,261,60,0,
 2.0,0.71,2,6.75%,0.00%,0.00%,0.50%,0,120,60,0,
 3.0,0.71,1,2.44%,0.00%,0.00%,0.12%,782,47611,335,0,
 4.0,0.71,17,84.69%,0.00%,0.00%,0.06%,0,302,126,0,
 5.0,0.71,17,100.00%,0.00%,0.00%,0.00%,0,296,162,0,
 6.0,0.71,17,100.00%,0.00%,0.00%,0.00%,0,312,120,0,
 7.0,1.93,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
 8.0,1.93,17,100.00%,0.00%,0.00%,0.00%,0,608,146,0,
 9.0,1.93,17,100.00%,0.00%,0.00%,0.00%,0,596,318,0,
10.0,1.93,17,99.94%,0.00%,0.00%,0.00%,0,2724,1368,0,
11.0,1.93,17,100.06%,0.00%,0.00%,0.00%,0,2232,999,0,
12.0,3.06,17,100.00%,0.00%,0.00%,0.00%,0,1880,0,0,
13.0,3.06,17,100.00%,0.00%,0.00%,0.00%,0,322,184,0,
14.0,3.06,17,100.00%,0.00%,0.00%,0.00%,0,126,63,0,
15.0,3.06,17,100.00%,0.00%,0.00%,0.00%,0,484,42,0,
16.0,3.06,17,100.00%,0.00%,0.00%,0.00%,0,116,42,0,
17.0,4.10,17,100.00%,0.00%,0.00%,0.00%,0,870,694,0,
18.0,4.10,17,100.44%,0.00%,0.00%,0.00%,0,120,60,0,
19.0,4.10,17,99.94%,0.00%,0.00%,0.00%,0,362,168,0,
20.0,4.10,17,100.00%,0.00%,0.00%,0.00%,0,116,102,0,
21.0,4.10,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
22.0,5.05,17,100.00%,0.00%,0.00%,0.00%,0,120,60,0,
23.0,5.05,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
24.0,5.05,17,100.00%,0.00%,0.00%,0.00%,0,383,168,0,
25.0,5.05,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
26.0,5.05,17,100.00%,0.00%,0.00%,0.00%,0,236,0,0,
27.0,5.93,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
28.0,5.93,17,100.00%,0.00%,0.00%,0.00%,0,0,42,0,
29.0,5.93,17,100.06%,0.00%,0.00%,0.00%,0,1466,840,0,
30.0,5.93,17,99.94%,0.00%,0.00%,0.00%,0,236,60,0,
31.0,5.93,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
32.0,6.73,17,100.00%,0.00%,0.00%,0.00%,0,116,42,0,
33.0,6.73,17,100.38%,0.00%,0.00%,0.00%,0,120,102,0,
34.0,6.73,17,100.06%,0.00%,0.00%,0.00%,0,362,228,0,
35.0,6.73,17,100.00%,0.00%,0.00%,0.00%,0,236,102,0,
36.0,6.73,17,100.00%,0.00%,0.00%,0.00%,0,176,42,0,
37.0,7.48,17,100.00%,0.00%,0.00%,0.00%,0,180,120,0,
38.0,7.48,17,99.94%,0.00%,0.00%,0.00%,0,788,531,0,
39.0,7.48,17,100.00%,0.00%,0.00%,0.00%,0,504,228,0,
40.0,7.48,17,100.06%,0.00%,0.00%,0.00%,0,116,42,0,
41.0,7.48,17,99.94%,0.00%,0.00%,0.00%,0,120,60,0,
