time,load,runnable,cpu,idle,iowait,irq,net lo,net enp2s0,net wlp3s0,net docker0,
 1.0,2.89,2,6.75%,0.00%,0.00%,1.00%,0,120,0,0,
 2.0,2.89,2,6.94%,0.00%,0.00%,0.69%,0,186,0,0,
 3.0,2.89,1,2.62%,0.00%,0.00%,0.38%,782,45864,0,0,
 4.0,2.89,17,63.44%,0.06%,0.00%,0.06%,0,120,0,0,
 5.0,2.89,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
 6.0,3.94,17,100.00%,0.00%,0.00%,0.00%,0,734,0,0,
 7.0,3.94,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
 8.0,3.94,17,100.00%,0.00%,0.00%,0.00%,0,366,0,0,
 9.0,3.94,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
10.0,3.94,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
11.0,4.91,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
12.0,4.91,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
13.0,4.91,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
14.0,4.91,17,100.00%,0.00%,0.00%,0.00%,0,186,0,0,
15.0,4.91,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
16.0,5.79,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
17.0,5.79,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
18.0,5.79,17,100.00%,0.00%,0.00%,0.00%,0,738,0,0,
19.0,5.79,17,100.00%,0.00%,0.00%,0.00%,0,672,0,0,
20.0,5.79,17,100.00%,0.00%,0.00%,0.00%,0,0,0,0,
21.0,6.61,17,100.00%,0.00%,0.00%,0.00%,0,612,0,0,
22.0,6.61,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
23.0,6.61,17,100.00%,0.00%,0.00%,0.00%,0,246,0,0,
24.0,6.61,17,100.44%,0.00%,0.00%,0.00%,0,832,0,0,
25.0,6.61,17,99.94%,0.00%,0.00%,0.00%,0,120,0,0,
26.0,7.36,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
27.0,7.36,17,99.94%,0.00%,0.00%,0.00%,0,333,0,0,
28.0,7.36,17,100.00%,0.00%,0.00%,0.00%,0,618,0,0,
29.0,7.36,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
30.0,7.36,17,100.06%,0.00%,0.00%,0.00%,0,186,0,0,
31.0,8.06,17,100.00%,0.00%,0.00%,0.00%,0,818,0,0,
32.0,8.06,17,99.94%,0.00%,0.00%,0.00%,0,150,0,0,
33.0,8.06,17,100.00%,0.00%,0.00%,0.06%,0,246,0,0,
34.0,8.06,17,100.00%,0.00%,0.00%,0.00%,0,416,0,0,
35.0,8.06,17,100.38%,0.00%,0.00%,0.00%,0,120,0,0,
36.0,8.69,17,100.00%,0.00%,0.00%,0.00%,0,120,0,0,
37.0,8.69,17,100.06%,0.00%,0.00%,0.00%,0,148,0,0,
38.0,8.69,17,99.94%,0.00%,0.00%,0.00%,0,246,0,0,
39.0,8.69,17,100.00%,0.00%,0.00%,0.00%,0,268,0,0,
40.0,8.69,17,100.06%,0.00%,0.00%,0.00%,0,120,0,0,
41.0,9.28,17,99.94%,0.00%,0.00%,0.00%,0,0,0,0,
42.0,9.28,17,100.06%,0.00%,0.00%,0.00%,0,268,0,0,
